city,lat,lon
Bertamiráns-ames,42.8594847,-8.6501713
Morata de tajuña,40.2294318,-3.4367354
Cela - bueu,42.3275916,-8.7530075
08014,39.800961179411765,-75.3454222010608
Cartama ,36.7100716,-4.631539
Tordesillas,41.500851,-5.00053
Sant josep de sa talaia,38.9043608,1.3178098
Coslada,40.423802,-3.5552882
Caceres,39.4745175,-6.3716761
Córdoba,37.8845813,-4.7760138
Ólvega,41.779562,-1.9843627
Cehegin,38.0925078,-1.7987525
Maello,40.8088827,-4.5098
San juan de aznalfarache,37.3599507,-6.03286
Arganda del rey,40.3007708,-3.4380688
Corral de almaguer,39.7607947,-3.168367
Fuentes de andalucia,37.4645318,-5.3443621
Valencina de la concepción ,37.4175713,-6.0738363
El entrego,43.28726995,-5.644691232973251
San antonio de benageber,39.5619478,-0.5001275
Avila,40.656478,-4.7002172
Aguilas ,37.4099628,-1.5804922
Castellar de santiago,38.5391616,-3.2755109
Alcántara,39.7205221,-6.8879981
Lumbrales,40.9364713,-6.7204227
Trobajo del camino,42.5951876,-5.6073495
Seseña,40.1048269,-3.6963093
Jerez del marquesado,37.1837778,-3.1596338
Mondragon ,44.2385626,4.7135032
Cambados,42.51439,-8.8138414
Creixell,41.1641014,1.4360328
La solana (peñas de s. pedro) ,38.7583769,-2.0290508
Villanueva de la cañada,40.4472106,-4.002795
Zaratán (valladolid),41.6594549,-4.7833204
Arenas de san pedro,40.2107266,-5.0868775
Hernani,43.2661107,-1.9747419
Alhaurin de la torre,36.6627542,-4.562753
Alcobendas,40.5400082,-3.6358494
Olivenza,38.6854813,-7.0995738
San juan del puerto,37.3142155,-6.8407764
Cordoba (andalucia),37.8845813,-4.7760138
La pobla de mafumet,41.1865974,1.2082805
Buenavista de valdavia,42.6380596,-4.6145515
Villarcayo,42.9389527,-3.5719766
Guissona,41.785242,1.289032
La roca del vallès,41.5883381,2.3314594
Dolores,37.7524811,-108.4596087
Betanzos,43.2729197,-8.2218227
Villalonga,38.8853294,-0.2066001
Barakaldo ,43.29548,-2.9900933
Cartagena ,37.6019353,-0.9841152
Aizoain,42.8484258,-1.6818355505612201
Soraluze ,43.1742777,-2.4128759
Guadarrama,40.6734454,-4.0893911
Benicarlo,40.4180244,0.4229813
Cartama estación,36.7338398,-4.6085595
Ciudad real ,38.959734749999996,-3.8828744402485436
Sa pobla,39.7699388,3.0250102
Tortosa,40.8110158,0.5209333
Macael,37.3309751,-2.3024387
Abaran,38.2058512,-1.3971219
Blanca,38.1788058,-1.3741839
Navalmanzano,41.2159893,-4.2557274
Cuellar ,41.3997643,-4.3150702
Pereiro de aguiar,42.346491900000004,-7.800898068852052
Fernan nuñez,37.669931,-4.7253088
Lucena,37.4091334,-4.4860128
Valladoid,40.6367805,-3.1534131
Báscara,42.1591723,2.9092786
